Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Андрійович;Олесь;Єлисейович;Чоловік;03-02-1997;Дантист;хутір Батурин;набережна Туристська, буд. 67, Подільськ, 81596;+380 49 013 85 51;artem72@example.net
Дубас;Альберт;Азарович;Чоловік;21-10-1945;Ветеринар;селище Новогродівка;шосе Сурикова, буд. 0, Вашківці, 53532;+380 90 945-22-63;mykhailynaivasiuk@example.org
Сич;Віра;Орестівна;Жінка;27-08-1951;Фермер;селище Монастирище;узвіз Архітектурна, буд. 4 кв. 742, Жидачів, 95733;+380 35 491-38-85;varfolomiitsushko@example.org
Канівець;Франц;Валерійович;Чоловік;03-04-1990;Сценарист;село Костянтинівка;узвіз Сєченова, буд. 8 кв. 1, Алупка, 33871;033 230-28-33;boleslav77@example.com
Гайдамака;Зиновій;Парменович;Чоловік;14-09-1988;Круп'є;селище Помічна;парк Шкільний аеродром, буд. 28 кв. 678, Славута, 02903;012 482-71-97;dmytro07@example.net
Рябошапка;Надія;Азарівна;Жінка;05-08-1938;Стиліст;місто Соледар;шосе Зої Космодем’янської, буд. 361 кв. 847, Сімферополь, 55040;+380 16 024-06-18;gzhytskyiparmen@example.org
Шведченко;Ліза;Левківна;Жінка;28-12-1996;Доцент;селище Дрогобич;шосе Наявний 6-й, буд. 01, Ірміно, 62592;+380 31 670 94 40;ihnat62@example.org
Авраменко;Станіслав;Богуславович;Чоловік;25-03-1970;Вчитель;селище Кропивницький;узвіз Пішонівська, буд. 7, Попасна, 70884;+380 85 656-59-08;varfolomii56@example.org
Павленко;Прохір;Павлович;Чоловік;12-07-1944;Історик;село Зимогір'я;сквер 7-ма Лінія Дачі Ковалевського, буд. 7 кв. 492, Білопілля, 92036;406-29-97;stepan37@example.org
Юрченко;Стефан;Пантелеймонович;Чоловік;30-12-1993;Круп'є;хутір Сєвєродонецьк;узвіз Андросовський, буд. 791, Краматорськ, 49812;015 285 50 52;deinekaodarka@example.org
Мамчур;Тимофій;Едуардович;Чоловік;28-02-1965;Музикознавець;село Монастирище;провулок Марата 2-й, буд. 132 кв. 6, Кропивницький, 05629;029 115 72 80;pylyp15@example.net
Абрамчук;Ганна;Демʼянівна;Жінка;20-10-1951;Клоун;село Остер ;узвіз Ювілейний 2-й, буд. 87 кв. 7, Жовті Води, 42119;040 354 64 68;iukhym07@example.net
Гресь;Теодор;Леонович;Чоловік;02-08-1966;Мінералог;місто Мала Виска;сквер Іподромний, буд. 473 кв. 313, Бережани, 91883;364-12-21;albina93@example.com
Сомко;Андрій;Яремович;Чоловік;21-05-1984;Дерун;селище Молодогвардійськ;шосе Бісквітний, буд. 569 кв. 116, Хуст, 27814;956 28 30;heorhii55@example.net
Юрчук;Ігнат;Адамович;Чоловік;18-10-1953;Кінокритик;село Лебедин;проспект Угорська, буд. 3 кв. 0, Тячів, 67889;+380 22 203 10 50;geregamykhailyna@example.com
Оліфіренко;Михайло;Веніяминович;Чоловік;26-03-1980;Єгер;село Бахчисарай;узвіз Небесної Сотні, буд. 07 кв. 91, Жашків, 97323;+380 (19) 332-08-65;rhohol@example.org
Абраменко;Пармен;Євгенович;Чоловік;21-07-1976;Актор;село Хрустальний;провулок Академіка Вавилова, буд. 972 кв. 50, Копичинці, 01340;+380 37 855-18-05;oryna47@example.org
Бгиденко;Аврелій;Антонович;Чоловік;08-05-1939;Клоун;селище Рогатин;узвіз Буніна, буд. 136, Яворів, 52733;596-83-59;lmalyshko@example.org
Дараган;Леонід;Кирилович;Чоловік;03-05-1984;Медик;місто Хирів;вулиця Будівельний, буд. 588, Сміла, 78986;008 164-35-32;stepankhmara@example.net
Колесниченко;Єлисей;Ігнатович;Чоловік;23-11-1953;Круп'є;село Сорокине;шосе Лінія 41-ша, буд. 31, Моспине, 15038;708 95 49;ivanbaranets@example.org
Оліфіренко;Миколай;Богуславович;Чоловік;05-08-1950;Зоолог;селище Першотравенськ;проспект Юннатів 3-й, буд. 75, Херсон, 56580;+380 58 593 12 65;anastasiia90@example.com
Закусило;Розалія;Пилипівна;Жінка;01-04-1999;Мірошник;село Новодружеськ;площа Бернардацці, буд. 520, Ланівці, 36510;857 02 11;semenmamchur@example.org
Гайворонський;Богдан;Лесьович;Чоловік;12-02-2005;Бізнесмен;село Зугрес;парк 9-та Суворовська, буд. 3, Жидачів, 19530;+380 96 127-03-20;klavdiiatytarenko@example.com
Михалюк;Валентина;Тимофіївна;Жінка;07-11-1990;Юрист;хутір Перечин;проспект Косовська, буд. 972, Куп'янськ, 67695;+380 63 424-90-72;ievakovalenko@example.net
Дуплій;Алевтин;Ігнатович;Чоловік;11-04-1986;Кур'єр;село Покров;провулок Псковська, буд. 58, Козятин, 12931;158-46-55;ausyk@example.org
Овсієнко;Дан;Германович;Чоловік;17-09-1995;Водій;село Погребище;площа Мацієвської, буд. 331 кв. 989, Деражня, 55768;+380 94 436 31 36;leopold39@example.com
Теліженко;Володимира;Романівна;Жінка;06-01-2000;Нотаріус;хутір Мена ;провулок Олександра Блока, буд. 53, Кипуче, 44115;082 373-37-13;xbabych@example.org
Захарченко;Олесь;Борисович;Чоловік;26-09-1956;Кінорежисер;селище Рава-Руська;сквер Тепла, буд. 9 кв. 48, Брянка, 19089;012 239 47 96;vakulenkovioletta@example.com
Конопля;Єфрем;Олегович;Чоловік;31-01-1960;Бібліотекар;селище Чорнобиль;проспект 3-тя Суворовська, буд. 7 кв. 2, Підгайці, 62825;450 93 98;dmytro12@example.com
Дробаха;Єлисавета;Назарівна;Жінка;09-10-1957;Підприємець;хутір Горохів;набережна Миколи Боровського, буд. 3 кв. 893, Іршава, 48572;+380 (36) 074-09-86;zakharenkoomelian@example.net
Чумак;Панас;Михайлович;Чоловік;20-06-1959;Зоолог;хутір Новий Буг;площа Польська, буд. 96, Рожище, 68509;+380 28 267-18-04;gdutka@example.org
Запорожець;Геннадій;Едуардович;Чоловік;03-09-1993;Клоун;селище Конотоп;площа Суперфосфатна, буд. 415 кв. 50, Сіверськ, 71707;271-33-06;zpetliura@example.org
Верменич;Лесь;Демидович;Чоловік;01-01-2002;Слідчий;селище Запоріжжя;провулок Колективний, буд. 641, Семенівка, 94589;+380 41 896-97-33;klymentiurchuk@example.net
Годунок;Леонід;Гордійович;Чоловік;09-09-1998;Стиліст;село Залізне;шосе Морехідний, буд. 511 кв. 0, Суми, 41397;332-39-33;iustymartym@example.net
Даценко;Володимира;Орестівна;Жінка;25-03-1950;Флорист;село Зміїв;сквер Соляний 5-й, буд. 598, Деражня, 33937;733-01-61;zhalilopavlo@example.org
Євтушенко;Андрій;Данович;Чоловік;04-03-1991;Сценарист;місто Дубровиця;провулок Рекордний, буд. 44, Сіверськ, 58261;020 540-95-51;nkhudiak@example.com
Іванченко;Семен;Стефанович;Чоловік;23-10-1962;Конструктор;селище Канів;узвіз Деревообробний 3-й, буд. 1 кв. 9, Сновськ, 28233;+380 76 600 82 37;ukanivets@example.net
Єфименко;Наталія;Вадимівна;Жінка;23-12-1944;Будник;хутір Збараж;площа Першотравневий 2-й, буд. 659, Новоукраїнка, 46374;200 56 53;piaremkiv@example.org
Михалюк;Мартин;Геннадійович;Чоловік;18-07-1969;Маркетолог;місто Богуслав;узвіз Асєєва Юрія, буд. 71, Алупка, 12137;+380 75 598-83-84;opanasenkoliza@example.com
Лупій;Ольга;Тимофіївна;Жінка;20-08-1952;Інженер;селище Алмазна;проспект Економічний, буд. 2, Конотоп, 66702;+380 73 129 45 72;nestorivashchenko@example.org
Ісаєнко;Климент;Демʼянович;Чоловік;16-02-1948;Фізик;селище Красноград;узвіз Амбулаторна, буд. 3 кв. 7, Переяслав, 85277;+380 16 035 57 37;ievhensvyrydenko@example.com
Швачка;Богуслав;Костянтинович;Чоловік;14-01-1979;Етнограф;місто Берестечко;площа Олександра Кутузакія, буд. 3 кв. 187, Щастя , 70034;+380 33 052 26 12;ustym17@example.com
Данько;Надія;Олексівна;Жінка;06-08-1969;Бібліотекар;село Ізмаїл;провулок Шостої 1-й, буд. 4 кв. 2, Вуглегірськ, 41651;+380 54 587-17-65;okseniia40@example.com
Харченко;Маруся;Антонівна;Жінка;07-12-1998;Дизайнер;хутір Великі Мости;сквер Нафтовиків, буд. 04, Антрацит , 56141;049 464-89-43;haidamakaliudmyla@example.net
Андрієвич;Анастасія;Данилівна;Жінка;18-12-1992;Археолог;село Маріуполь;сквер Західний 1-й, буд. 712, Южноукраїнськ, 28299;+380 45 588-74-57;ostap84@example.org
Архипенко;Софія;Веніяминівна;Жінка;18-08-1952;Астронавт;місто Бахмут;проспект 19-й км Старокиївської дороги, буд. 69 кв. 00, Новомосковськ, 07826;954 29 14;slazarenko@example.com
Ніколюк;Сніжана;Стефанівна;Жінка;12-05-1945;Зоолог;хутір Буринь;провулок Митракова, буд. 39, Вільнянськ, 46324;+380 85 768 86 91;andreikoiakiv@example.com
Бгиденко;Максим;Вікторович;Чоловік;08-03-1964;Підприємець;місто Шостка;сквер Цементний, буд. 78, Ясинувата, 44956;+380 (79) 600-05-57;fstelmakh@example.net
Перебийніс;Семен;Остапович;Чоловік;06-06-2001;Конструктор;хутір Шаргород;вулиця Чапаєва, буд. 6, Вільнянськ, 56981;+380 47 976-67-78;bohuslavatymchenko@example.net
Яремків;Костянтин;Августинович;Чоловік;02-10-1958;Гірничий інженер;хутір Бердянськ;площа Наявний 5-й, буд. 23, Маріуполь, 53607;+380 (80) 302-79-47;heibozhenko@example.org
Чалий;Юхим;Олександрович;Чоловік;08-04-1989;Фермер;хутір Краматорськ;набережна Артилерійський 2-й, буд. 43 кв. 668, Луганськ, 06439;+380 36 345 75 97;borys16@example.org
Шиян;Валентин;Леонович;Чоловік;17-04-1974;Парфюмер;хутір Решетилівка;шосе Флотський 4-й, буд. 006 кв. 930, Камінь-Каширський, 46916;+380 21 650-52-39;sofiiahutsuliak@example.net
Дробаха;Мартин;Андрійович;Чоловік;04-10-1975;Музичний редактор;хутір Новий Розділ;сквер Економічний, буд. 006, Южне, 13925;694-03-62;onufriienkofrants@example.net
Мазепа;Марко;Ігнатович;Чоловік;14-06-1986;Дерун;хутір Красилів;площа Красива, буд. 2, Ворожба, 34022;+380 75 429-36-83;fbhydenko@example.org
Онуфрієнко;Симон;Євгенович;Чоловік;13-10-1977;Головний меркшейдер;місто Вугледар;набережна Лінійна, буд. 7, Покров, 54661;811 86 80;nchupryna@example.net
Хомик;Єва;Варфоломіївна;Жінка;20-03-1971;Кінокритик;селище Білицьке;парк Новий, буд. 780, Костянтинівка, 28266;+380 26 553-28-45;albina58@example.net
Гузенко;Марʼяна;Азарівна;Жінка;16-08-1982;Біолог;селище Біла Церква;провулок Деревообробний 1-й, буд. 77 кв. 536, Сарни, 81996;+380 (57) 583-79-57;arkadiihaida@example.org
Смик;Аніта;Глібівна;Жінка;20-08-1949;Диригент;хутір Жданівка;вулиця Одеська, буд. 9 кв. 8, Біла Церква, 91766;+380 14 936-21-93;mykytaparasiuk@example.com
Бабак;Леон;Миронович;Чоловік;03-04-1972;Медик;селище Роздільна;вулиця Мічманський 1-й, буд. 7 кв. 760, Кіцмань, 61878;565-20-90;lartym@example.net
Онищенко;Маруся;Васильівна;Жінка;15-02-1948;Фізик;хутір Дніпрорудне;провулок Астрономічний, буд. 67, Середина-Буда, 21078;+380 55 785-52-34;boleslavfranchuk@example.com
Нестеренко;Христина;Зорянівна;Жінка;03-12-1971;Психолог;селище Глиняни;проспект Житкова, буд. 7 кв. 3, Синельникове, 89580;065 398-56-53;erikavysochan@example.org
Мазур;Софія;Францівна;Жінка;07-04-2003;Музичний редактор;село Рені;вулиця Деволанівський узвіз, буд. 846 кв. 476, Лубни, 94256;+380 72 693 57 67;hryhoriisatsiuk@example.com
Титаренко;Руслан;Максимович;Чоловік;24-11-1997;Ветеринар;хутір Каховка;узвіз Середньофонтанська, буд. 1 кв. 943, Соснівка , 54008;+380 49 836-65-04;ivan45@example.com
Михалюк;Клавдія;Петрівна;Жінка;20-06-1981;Промисловець;хутір Умань;площа Улітіна, буд. 60 кв. 2, Заставна, 20148;+380 (11) 224-41-40;borysazhazha@example.net
Талан;Омелян;Парменович;Чоловік;23-02-1991;Продюсер;селище Ірпінь;набережна Горіхова, буд. 7, Іловайськ, 70232;079 036 45 01;anton70@example.com
Лавренко;Аарон;Онисимович;Чоловік;23-09-1995;Конструктор;селище Вараш;шосе Новоселів, буд. 777 кв. 9, Нововолинськ, 49804;+380 36 127-15-81;raleksiuk@example.com
Свистун;Артем;Павлович;Чоловік;28-12-1986;Антрополог;хутір Новогродівка;сквер 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 8, Герца, 36474;+380 01 592-16-94;rvakarchuk@example.com
Кабаненко;Дмитро;Дмитрович;Чоловік;11-02-2006;Антрополог;місто Шахтарськ;провулок Салтикова-Щедріна, буд. 1, Тиврів, 32914;055 606-87-66;uovcharenko@example.net
Авраменко;Гліб;Геннадійович;Чоловік;12-06-1993;Маркетолог;селище Токмак;парк Новгородський, буд. 962 кв. 29, Дружба , 23352;023 324 59 78;drobakhalukian@example.com
Каденюк;Азар;Яківович;Чоловік;22-04-1995;М'ясник;селище Рубіжне;сквер Тираспольська, буд. 42 кв. 814, Чернівці, 32455;+380 08 351-05-61;kamillamalyk@example.org
Воблий;Тарас;Альбертович;Чоловік;26-08-1962;Музикант;селище Барвінкове;узвіз Десята, буд. 036 кв. 6, Жовква, 95915;+380 01 751-33-86;feofanumanets@example.org
Стус;Марта;Романівна;Жінка;24-09-1958;Дизайнер;місто Гуляйполе;набережна Балтська дорога, буд. 559, Добропілля, 87087;044 514 25 33;iashchenkoiaroslav@example.org
Батюк;Дарина;Амвросіївна;Жінка;22-02-1962;Штукатур;хутір Баштанка;сквер Кондренка, буд. 1, Скалат, 42260;044 232-43-30;labrahamovskyi@example.net
Атаманюк;Андрій;Богданович;Чоловік;09-04-1942;Електротехнік;місто Бердичів;площа Середня, буд. 162 кв. 4, Очаків, 61770;009 122 80 41;albert80@example.org
Конопля;Валентина;Назарівна;Жінка;11-01-2005;Пілот;село Середина-Буда;узвіз Соціальна, буд. 3 кв. 186, Радивилів, 75402;901 84 26;olhavanchenko@example.org
Дейнеко;Панас;Богодарович;Чоловік;30-07-1944;Письменник;село Феодосія;вулиця Обільний 2-й, буд. 97 кв. 828, Кременець, 84500;+380 19 837-21-80;liudmyla13@example.net
Дейнека;Дмитро;Ростиславович;Чоловік;23-11-1973;Реставратор;місто Миргород;сквер Івасюка Володимира, буд. 742, Кальміуське, 41152;+380 (32) 675-60-50;chuikopriska@example.com
Шухевич;Альберт;Володимирович;Чоловік;02-01-2005;Шериф;селище Березівка;площа Скляний 1-й, буд. 823, Вовчанськ, 90935;004 649-66-97;iurchenkovarvara@example.com
Лукаш;Петро;Федірович;Чоловік;27-04-1987;Складальник;село Нова Каховка;парк Вершинна, буд. 78, Тетіїв, 47569;+380 95 542-50-67;liubov88@example.com
Власюк;Марія;Микитівна;Жінка;14-08-1944;Футболіст;село Першотравенськ;парк Михайла Божія, буд. 82 кв. 1, Ніжин, 09280;035 159-11-79;teodor11@example.net
Лавренко;Стефан;Дмитрович;Чоловік;29-06-1985;Дипломат;село Городенка;сквер Академіка Вільямса, буд. 81 кв. 5, Кам'янка (Черкаська область), 71432;204-72-59;heorhii47@example.net
Шведченко;Єва;Юстимівна;Жінка;11-11-1943;Машиніст;місто Первомайський ;вулиця Злакова, буд. 5, Бурштин , 29652;023 412 71 93;masokhapavlo@example.org
Талан;Ростислав;Ігорович;Чоловік;08-05-1978;Диригент;селище Первомайський ;проспект Довга, буд. 14, Сорокине, 21794;+380 63 246 06 96;vlasenkoavrelii@example.com
Фесенко;Розалія;Феофанівна;Жінка;08-09-1998;Літературознавець;хутір Новодністровськ;парк Виноградна 3-тя, буд. 79 кв. 3, Теплодар, 43026;588-90-61;adambaklan@example.org
Худобʼяк;Геннадій;Олесьович;Чоловік;26-07-1988;Історик;місто Славута;шосе Марата, буд. 597, Христинівка, 71784;+380 (75) 115-72-01;zlatoslavaokhrimenko@example.org
Чалий;Назар;Богданович;Чоловік;04-05-1972;Правник;село Лохвиця;набережна Грецька, буд. 983, Ніжин, 60047;706-56-48;varvara02@example.net
Колодуб;Аніта;Микитівна;Жінка;12-11-1981;Будник;хутір Чоп;сквер Віцеадмірала Жукова, буд. 16 кв. 9, Зугрес, 54252;054 052-56-28;ivan28@example.net
Симоненко;Орест;Пилипович;Чоловік;04-12-1939;Державний службовець;селище Торецьк;сквер Басейний 2-й, буд. 59 кв. 753, Болград, 10034;+380 29 994-96-24;hredko@example.net
Гречаник;Олекса;Августинович;Чоловік;18-07-1992;Ґрунтознавець;селище Коростишів;набережна Деволанівський узвіз, буд. 42, Лисичанськ, 05039;061 356-38-44;avrelii97@example.org
Бакуменко;Володимир;Остапович;Чоловік;20-06-1960;Круп'є;місто Татарбунари;сквер Нікітіна, буд. 8 кв. 52, Тячів, 45334;057 979-81-63;sviatoslavakorzh@example.org
Тягнибок;Леонтій;Русланович;Чоловік;08-10-1947;М'ясник;село Тетіїв;набережна Привокзальна, буд. 48, Горішні Плавні, 99014;038-69-68;zlatoslavavasylechko@example.net
Жученко;Гордій;Симонович;Чоловік;29-08-1945;Фізик;село Здолбунів;парк Восьмого Березня Лінія 1-ша, буд. 79, Красногорівка, 77969;022 227-09-47;prytulatereza@example.net
Вергун;Святослава;Єфремівна;Жінка;14-02-1950;Електрослюсар;селище Перечин;шосе Рибальська балка, буд. 5, Світловодськ, 24390;381-67-69;svanchenko@example.net
Зайченко;Руслан;Леонович;Чоловік;27-10-1938;Науковець;селище Нова Каховка;площа Колективний, буд. 8, Харків, 59785;004 627-78-86;vladyslavtalan@example.net
Іваненко;Тетяна;Антонівна;Жінка;11-08-1966;Детектив;селище Звенигородка;узвіз Штильова, буд. 31, Таврійськ, 07670;265 28 61;hrechkodan@example.org
Наливайко;Златослава;Федірівна;Жінка;03-09-2008;Біолог;село Тростянець;вулиця Салтикова-Щедріна, буд. 4 кв. 607, Миргород, 84817;+380 (87) 772-39-95;iartiukh@example.org
Бевзенко;Спас;Аркадійович;Чоловік;18-04-1968;Стоматолог;село Рава-Руська;провулок 10-та Лінія Марії Демченко, буд. 94 кв. 28, Бахчисарай, 79854;754-04-95;oles92@example.org
Рудько;Руслан;Тарасович;Чоловік;13-05-1971;Графік;місто Білицьке;вулиця Міцкевича, буд. 0 кв. 735, Семенівка, 67000;+380 59 671-82-06;wnalyvaiko@example.net
Штокало;Альберт;Августинович;Чоловік;03-11-1937;Агроном;селище Липовець;шосе Восьмого березня, буд. 89 кв. 1, Старий Крим, 25090;+380 34 542 45 75;wzaiets@example.org
Баштан;Герман;Демʼянович;Чоловік;07-11-1991;Професор;місто Моршин;шосе 8-ма Лінія Дачі Ковалевського, буд. 38, Коломия, 49974;070 50 41;iosypmazur@example.org
Рудько;Борислав;Орхипович;Чоловік;09-04-1967;Інженер;місто Заводське;шосе Восьмого березня 5-й, буд. 81 кв. 66, Куп'янськ, 59647;021 631 07 99;boleslav39@example.org
Аронець;Леопольд;Олесьович;Чоловік;10-11-1988;Графік;село Суходільськ;провулок Новомосковська дорога, буд. 8 кв. 02, Червоноград, 07309;072 953 94 74;marta70@example.org
Зубко;Руслан;Варфоломійович;Чоловік;13-04-1944;Кінорежисер;селище Севастополь;площа Олександра Матросова, буд. 134 кв. 258, Дубно, 69688;026-80-23;havrylo05@example.org
Дерегус;Леон;Євгенович;Чоловік;27-01-1992;Фізик;село Новий Буг;набережна Вірського, буд. 121, Боково-Хрустальне, 16052;394 03 35;bevzalla@example.net
Макогон;Стефан;Прохірович;Чоловік;09-12-1982;Гірничий інженер;хутір Харків;сквер Житомирський 4-й, буд. 51 кв. 05, Щастя , 51363;+380 (44) 710-62-27;lubenetsielysei@example.org
Михалюк;Аліна;Демидівна;Жінка;04-07-1961;Агроном;село Гнівань;шосе Молокова, буд. 332, Новоазовськ, 34285;234 93 97;hryhoriilemeshko@example.com
Мірошниченко;Єва;Трохимівна;Жінка;13-02-1961;Дерун;селище Валки ;шосе Слави, буд. 55, Ходорів, 33433;219-48-97;demian78@example.com
Рубець;Тарас;Єлисейович;Чоловік;26-01-1942;Стоматолог;хутір Гнівань;площа Цементний, буд. 154, Вінниця, 23232;178-90-81;ihnat60@example.net
Скоробогатько;Захар;Спасович;Чоловік;25-08-2001;Промисловець;село Кам'янка-Дніпровська;провулок Стороженка Олега, буд. 195, Южне, 77924;+380 77 688-50-49;gshtepa@example.org
Дашкевич;Демид;Олесьович;Чоловік;30-05-1938;Єгер;село Південне ;парк Ширшова, буд. 996 кв. 8, Тячів, 35155;+380 (29) 847-59-36;volodymyr57@example.com
Ткаченко;Пилип;Ростиславович;Чоловік;12-01-1985;Хімік;місто Пирятин;сквер Надіїі, буд. 15, Олевськ, 45695;579 45 59;amaliia56@example.com
Дараган;Пантелеймон;Микитович;Чоловік;19-07-1989;Драматург;селище Бунге ;набережна Лиманчик 2-й Лінія 2-га, буд. 65 кв. 03, Бершадь, 94521;549 65 25;dmytro08@example.com
Мазепа;Ярослав;Олесьович;Чоловік;24-05-1988;Швачка;селище Малин;площа Хімічний 3-й, буд. 99, Лутугине, 77841;060 381 71 89;tymofiioliinyk@example.net
Кириленко;Феофан;Альбертович;Чоловік;31-08-1993;Кінокритик;хутір Інкерман;парк Чорноморська, буд. 906, Південне , 12044;042 615 77 42;serhiishtokalo@example.org
Ніколюк;Тереза;Олегівна;Жінка;06-01-1985;Астроном;місто Сєвєродонецьк;провулок Учнівська, буд. 2 кв. 82, Долинська, 07759;+380 24 812-79-65;nestor88@example.net
Василенко;Альбіна;Михайлівна;Жінка;03-09-2004;Маркетолог;селище Мукачево;набережна Мала Садова, буд. 86 кв. 720, Кіцмань, 56105;244 77 38;shvedchenkoboryslav@example.org
Цимбал;Євген;Пилипович;Чоловік;06-11-1982;Клоун;село Севастополь;набережна Тупиковий 1-й, буд. 8 кв. 656, Донецьк, 75164;+380 69 688-38-88;syrotenkoboryslav@example.net
Тихий;Розалія;Стефанівна;Жінка;07-07-1952;Краєзнавець;місто Одеса;провулок 19-й км Старокиївської дороги, буд. 83 кв. 288, Старий Самбір, 76812;+380 07 146-17-19;alla53@example.com
Яремко;Клавдія;Станіславівна;Жінка;01-01-1984;Бібліограф;місто Кагарлик;вулиця Тетяни Тесс, буд. 42 кв. 42, Роздільна, 18025;054 75 69;stepan67@example.net
Вдовиченко;Розалія;Глібівна;Жінка;04-01-1962;Електромонтажник;селище Жмеринка;провулок Лузанівський 1-й, буд. 40 кв. 8, Зміїв, 11979;+380 94 537-34-99;varvara97@example.org
Рубець;Василина;Юстимівна;Жінка;20-02-1942;Історик;село Лубни;сквер Сурикова, буд. 3 кв. 810, Феодосія, 96283;122-12-02;heorhii02@example.org
Михалюк;Лукʼян;Георгійович;Чоловік;11-12-1992;Льотчик;селище Болехів;вулиця Лінія 39-та, буд. 38 кв. 149, Міусинськ, 50551;994-75-22;tereshchukroksolana@example.org
Демʼянчук;Тарас;Валентинович;Чоловік;19-08-1941;Філолог;хутір Луганськ;шосе Паркова, буд. 72, Сімферополь, 43744;+380 47 737-84-14;vernyhoranataliia@example.com
Сіробаба;Мирослав;Назарович;Чоловік;28-06-1985;Візажист;хутір Перевальськ;площа Амундсена, 2-й, буд. 86 кв. 199, Феодосія, 59895;028 346-39-05;viterandrii@example.com
Архимович;Пармен;Данилович;Чоловік;20-05-1972;Стропальник;місто Красноград;шосе Корнюшина, буд. 034, Українка , 73073;+380 (98) 149-12-88;illia56@example.com
Самойленко;Анастасія;Геннадіївна;Жінка;10-09-1974;Геофізик;село Мелітополь;узвіз Ключовий 1-й, буд. 4, Перевальськ, 81670;074 124-47-11;larysa08@example.org
Рудик;Валентина;Георгіївна;Жінка;09-06-1982;Психолог;хутір Кременець;площа Толбухіна, буд. 500, Рожище, 41523;427-10-41;averchenkoerika@example.org
Бандера;Олекса;Ростиславович;Чоловік;28-09-1987;Музичний редактор;місто Святогірськ;шосе Студена, буд. 4, Попасна, 68654;+380 (66) 225-65-82;sshcherban@example.com
Василенко;Ірина;Тимофіївна;Жінка;29-02-2004;Музикознавець;хутір Павлоград;вулиця Мічуріна, буд. 613, Дергачі, 15286;230 44 64;pshtepa@example.org
